ID,DATE,DEXUSEU
1,2015-04-03,1.0990
2,2015-04-06,1.1008
3,2015-04-07,1.0850
4,2015-04-08,1.0818
5,2015-04-09,1.0671
6,2015-04-10,1.0598
7,2015-04-13,1.0582
8,2015-04-14,1.0672
9,2015-04-15,1.0596
10,2015-04-16,1.0742
11,2015-04-17,1.0780
12,2015-04-20,1.0763
13,2015-04-21,1.0758
14,2015-04-22,1.0729
15,2015-04-23,1.0803
16,2015-04-24,1.0876
17,2015-04-27,1.0892
18,2015-04-28,1.0979
19,2015-04-29,1.1174
20,2015-04-30,1.1162
21,2015-05-01,1.1194
22,2015-05-04,1.1145
23,2015-05-05,1.1174
24,2015-05-06,1.1345
25,2015-05-07,1.1283
26,2015-05-08,1.1241
27,2015-05-11,1.1142
28,2015-05-12,1.1240
29,2015-05-13,1.1372
30,2015-05-14,1.1368
31,2015-05-15,1.1428
32,2015-05-18,1.1354
33,2015-05-19,1.1151
34,2015-05-20,1.1079
35,2015-05-21,1.1126
36,2015-05-22,1.1033
37,2015-05-25,.
38,2015-05-26,1.0876
39,2015-05-27,1.0888
40,2015-05-28,1.0914
41,2015-05-29,1.0994
42,2015-06-01,1.0913
43,2015-06-02,1.1130
44,2015-06-03,1.1285
45,2015-06-04,1.1271
46,2015-06-05,1.1108
47,2015-06-08,1.1232
48,2015-06-09,1.1284
49,2015-06-10,1.1307
50,2015-06-11,1.1236
51,2015-06-12,1.1278
52,2015-06-15,1.1266
53,2015-06-16,1.1238
54,2015-06-17,1.1244
55,2015-06-18,1.1404
56,2015-06-19,1.1335
57,2015-06-22,1.1378
58,2015-06-23,1.1190
59,2015-06-24,1.1178
60,2015-06-25,1.1196
61,2015-06-26,1.1156
62,2015-06-29,1.1180
63,2015-06-30,1.1154
64,2015-07-01,1.1084
65,2015-07-02,1.1090
66,2015-07-03,.
67,2015-07-06,1.1076
68,2015-07-07,1.0952
69,2015-07-08,1.1072
70,2015-07-09,1.1025
71,2015-07-10,1.1150
72,2015-07-13,1.1020
73,2015-07-14,1.1015
74,2015-07-15,1.0965
75,2015-07-16,1.0898
76,2015-07-17,1.0848
77,2015-07-20,1.0850
78,2015-07-21,1.0927
79,2015-07-22,1.0884
80,2015-07-23,1.0976
81,2015-07-24,1.0976
82,2015-07-27,1.1112
83,2015-07-28,1.1055
84,2015-07-29,1.1026
85,2015-07-30,1.0914
86,2015-07-31,1.1028
87,2015-08-03,1.0962
88,2015-08-04,1.0953
89,2015-08-05,1.0868
90,2015-08-06,1.0922
91,2015-08-07,1.0958
92,2015-08-10,1.0994
93,2015-08-11,1.1042
94,2015-08-12,1.1198
95,2015-08-13,1.1144
96,2015-08-14,1.1110
97,2015-08-17,1.1078
98,2015-08-18,1.1028
99,2015-08-19,1.1061
100,2015-08-20,1.1200
101,2015-08-21,1.1356
102,2015-08-24,1.1580
103,2015-08-25,1.1410
104,2015-08-26,1.1390
105,2015-08-27,1.1239
106,2015-08-28,1.1172
107,2015-08-31,1.1194
108,2015-09-01,1.1263
109,2015-09-02,1.1242
110,2015-09-03,1.1104
111,2015-09-04,1.1117
112,2015-09-07,.
113,2015-09-08,1.1182
114,2015-09-09,1.1165
115,2015-09-10,1.1262
116,2015-09-11,1.1338
117,2015-09-14,1.1307
118,2015-09-15,1.1260
119,2015-09-16,1.1304
120,2015-09-17,1.1312
121,2015-09-18,1.1358
122,2015-09-21,1.1204
123,2015-09-22,1.1133
124,2015-09-23,1.1160
125,2015-09-24,1.1252
126,2015-09-25,1.1192
127,2015-09-28,1.1236
128,2015-09-29,1.1246
129,2015-09-30,1.1162
130,2015-10-01,1.1200
131,2015-10-02,1.1276
132,2015-10-05,1.1200
133,2015-10-06,1.1266
134,2015-10-07,1.1249
135,2015-10-08,1.1282
136,2015-10-09,1.1363
137,2015-10-12,.
138,2015-10-13,1.1382
139,2015-10-14,1.1437
140,2015-10-15,1.1418
